"city","lat","lng","country"
"Tokyo","35.6870","139.7495","Japan"
"Jakarta","-6.1750","106.8275","Indonesia"
"Delhi","28.6100","77.2300","India"
"Guangzhou","23.1300","113.2600","China"
"Mumbai","19.0761","72.8775","India"
"Manila","14.5958","120.9772","Philippines"
"Shanghai","31.2286","121.4747","China"
"São Paulo","-23.5504","-46.6339","Brazil"
"Seoul","37.5667","126.9833","Korea
"Mexico City","19.4333","-99.1333","Mexico"
"Kolkāta","22.5675","88.3700","India"
"Cairo","30.0444","31.2358","Egypt"
"Karachi","24.8600","67.0100","Pakistan"
"Dhaka","23.7289","90.3944","Bangladesh"
"New York","40.6943","-73.9249","United States"
"Beijing","39.9067","116.3975","China"
"Bangkok","13.7525","100.4942","Thailand"
"Shenzhen","22.5415","114.0596","China"
"Moscow","55.7506","37.6175","Russia"
"Buenos Aires","-34.6036","-58.3814","Argentina"
"Lagos","6.4550","3.3841","Nigeria"
"Bangalore","12.9789","77.5917","India"
"Ho Chi Minh City","10.7756","106.7019","Vietnam"
"Ōsaka","34.6939","135.5022","Japan"
"Chengdu","30.6600","104.0633","China"
"Istanbul","41.0136","28.9550","Turkey"
"Tehran","35.6889","51.3897","Iran"
"Kinshasa","-4.3219","15.3119","Congo (Kinshasa)"
"Rio de Janeiro","-22.9111","-43.2056","Brazil"
"Chennai","13.0825","80.2750","India"
"Xi’an","34.2611","108.9422","China"
"Lahore","31.5497","74.3436","Pakistan"
"Chongqing","29.5637","106.5504","China"
"Los Angeles","34.1141","-118.4068","United States"
"London","51.5072","-0.1275","United Kingdom"
"Paris","48.8567","2.3522","France"
"Linyi","35.1038","118.3564","China"
"Dongguan","23.0210","113.7520","China"
"Baoding","38.8740","115.4640","China"
"Hyderābād","17.3617","78.4747","India"
"Tianjin","39.1336","117.2054","China"
"Lima","-12.0600","-77.0375","Peru"
"Wuhan","30.5934","114.3046","China"
"Nanyang","32.9902","112.5285","China"
"Hangzhou","30.2670","120.1530","China"
"Nagoya","35.1833","136.9000","Japan"
"Luanda","-8.8383","13.2344","Angola"
"Foshan","23.0214","113.1216","China"
"Kuala Lumpur","3.1686","101.6980","Malaysia"
"Zhoukou","33.6367","114.7014","China"
"Tongshan","34.2610","117.1859","China"
"Hanoi","21.0000","105.8500","Vietnam"
"Chicago","41.8375","-87.6866","United States"
"Nanjing","32.0608","118.7789","China"
"Heze","35.2343","115.4796","China"
"Pune","18.5203","73.8567","India"
"Jining","35.4151","116.5871","China"
"Bogotá","4.7111","-74.0722","Colombia"
"Ahmedabad","23.0225","72.5714","India"
"Shenyang","41.8025","123.4281","China"
"Dar es Salaam","-6.8161","39.2803","Tanzania"
"Khartoum","15.6031","32.5265","Sudan"
"Johannesburg","-26.2044","28.0456","South Africa"
"Fuyang","32.8900","115.8140","China"
"Hong Kong","22.3000","114.2000","Hong Kong"
"Ganzhou","25.8310","114.9330","China"
"Shangqiu","34.4150","115.6560","China"
"Cangzhou","38.3047","116.8387","China"
"Riyadh","24.6500","46.7100","Saudi Arabia"
"Santiago","-33.4372","-70.6506","Chile"
"Zhumadian","33.0140","114.0220","China"
"Zhanjiang","21.2701","110.3575","China"
"Rangoon","16.7950","96.1600","Burma"
"Yancheng","33.3500","120.1569","China"
"Bijie","27.2840","105.2920","China"
"Xingtai","37.0717","114.5048","China"
"Hengyang","26.8940","112.5720","China"
